N_sample	N_ANI	Min	Max
911	50203.52	45231	54654
912	50239.5	45262	54662
913	50291.24	45490	54700
914	50340.24	45492	54776
915	50359.6	45506	54778
916	50396	45511	54883
917	50472.36	45512	54942
918	50500.86	45523	54963
919	50525.58	45535	55116
920	50561.26	45537	55235
921	50614.48	45538	55271
922	50654.7	45586	55414
923	50697.1	45608	55427
924	50727.82	45616	55534
925	50772.16	45617	55541
926	50809.36	45620	55544
927	50879.7	45622	55546
928	50899.9	45622	55547
929	50929.52	45624	55597
930	50973.9	45624	55649
931	50999.9	45627	55649
932	51038.62	45628	55882
933	51058.24	45745	55908
934	51127.08	46302	55908
935	51195.6	46304	56021
936	51250.96	46304	56022
937	51284.44	46306	56048
938	51309	46315	56103
939	51347.26	46346	56222
940	51395.7	46348	56223
941	51437.42	46356	56223
942	51473.22	46371	56231
943	51507.44	46428	56233
944	51542.56	46441	56237
945	51592.82	46454	56238
946	51618.46	46454	56248
947	51645.84	46455	56248
948	51667.1	46465	56270
949	51687.38	46497	56271
950	51718.62	46501	56275
951	51743.36	46506	56282
952	51782.34	46506	56524
953	51809.24	46508	56525
954	51830.2	46509	56531
955	51857.68	46710	56917
956	51887.34	46730	57076
957	51935.96	47010	57200
958	51969.32	47052	57214
959	52005.48	47056	57475
960	52037.3	47056	57476
961	52079.56	47062	57476
962	52103.36	47063	57480
963	52125.8	47065	57481
964	52169.54	47066	57523
965	52183.3	47115	57527
966	52219.92	47116	57538
967	52254.56	47118	57573
968	52323.3	47119	57591
969	52348.02	47122	57671
970	52382.62	47151	57867
971	52411.14	47157	57871
972	52452.28	47235	57876
973	52493.22	47250	57882
974	52535.38	47251	58032
975	52584.5	47272	58034
976	52616.44	47293	58054
977	52670.44	47416	58275
978	52703.06	47422	58304
979	52742.66	47503	58312
980	52773.84	47507	58326
981	52808.76	47517	58330
982	52841.7	47551	58331
983	52871.76	47631	58352
984	52891.12	47653	58375
985	52915.32	47657	58382
986	52947.76	47660	58466
987	52971.16	47663	58468
988	53027.78	47682	58470
989	53063.28	47688	58472
990	53101.68	47738	58473
991	53150.16	47744	58758
992	53180.42	47755	58759
993	53238.68	47757	58762
994	53280.94	47789	58788
995	53318.76	47820	58788
996	53350.78	47820	58825
997	53405.74	47833	58927
998	53421.22	47841	58935
999	53440.86	47843	58939
1000	53509.04	48465	58948
1001	53551.82	48484	58981
1002	53578.38	48486	58986
1003	53615.22	48494	58994
1004	53642.6	48499	59010
1005	53669.68	48576	59010
1006	53709.54	48577	59041
1007	53746.72	48611	59065
1008	53788.68	48612	59068
1009	53824.3	48612	59074
1010	53846.88	48612	59107
1011	53869.14	48617	59114
1012	53899.1	48617	59114
1013	53978.26	48811	59120
1014	54004.18	48812	59170
1015	54049.38	48816	59256
1016	54089.52	48954	59312
1017	54113.26	48958	59313
1018	54148.96	48991	59313
1019	54185.36	48997	59327
1020	54204.56	48997	59338
1021	54247.26	49076	59361
1022	54277.62	49085	59363
1023	54294.92	49099	59367
1024	54325.86	49110	59374
1025	54368.32	49113	59396
1026	54385.64	49200	59399
1027	54413.64	49207	59421
1028	54475.54	49208	59423
1029	54491.96	49229	59424
1030	54542	49232	59426
1031	54597.3	49252	59426
1032	54623.88	49260	59444
1033	54661.56	49330	59466
1034	54681.76	49330	59570
1035	54706.5	49401	59578
1036	54732.14	49401	59594
1037	54775.96	49457	59634
1038	54795.86	49459	59642
1039	54830.22	49459	59642
1040	54866.24	49461	59646
1041	54897.6	49462	59660
1042	54943.32	49462	59664
1043	55018.34	49463	59665
1044	55053.18	49582	59843
1045	55085.5	49815	59846
1046	55106.58	49826	59874
1047	55130.26	49846	59875
1048	55183.56	50060	59877
1049	55213.34	50073	59879
1050	55273.6	50097	59879
1051	55309.94	50097	59924
1052	55355.82	50101	59926
1053	55390.74	50101	59962
1054	55417.34	50101	59982
1055	55435.16	50101	60038
1056	55457.52	50109	60038
1057	55480.48	50109	60056
1058	55572.42	50976	60070
1059	55595.3	51031	60070
1060	55630.86	51068	60070
1061	55660.02	51073	60184
1062	55690.3	51073	60185
1063	55762.34	51074	60430
1064	55795.64	51090	60431
1065	55824.54	51245	60431
1066	55867.68	51250	60431
1067	55894.42	51254	60442
1068	55916.84	51283	60442
1069	55942.58	51284	60449
1070	55967.36	51289	60451
1071	56000.82	51361	60883
1072	56045.3	51435	60884
1073	56066.46	51738	60885
1074	56095.64	51739	60894
1075	56116	51739	60895
1076	56145.18	51758	60898
1077	56168.02	51759	60914
1078	56200.64	51760	60915
1079	56220.92	51767	60962
1080	56248.34	51768	60991
1081	56266.24	51769	60991
1082	56336.62	51776	60992
1083	56376.78	51972	60994
1084	56426.06	51985	61490
1085	56466.7	52135	61494
1086	56485.38	52161	61494
1087	56525.94	52167	61524
1088	56583.78	52169	61525
1089	56617.18	52226	61529
1090	56643.76	52236	61534
1091	56668.36	52253	61534
1092	56702.38	52267	61535
1093	56726.54	52267	61608
1094	56756.94	52268	61749
1095	56796.98	52521	61754
1096	56848.48	52521	61768
1097	56873.3	52523	61775
1098	56902.48	52523	61804
1099	56917.66	52529	61805
1100	56950	52529	61815
1101	56974.54	52619	61829
1102	57007.6	52621	61829
1103	57062.94	52621	61838
1104	57095.88	52623	62049
1105	57121	52645	62058
1106	57142.96	52678	62063
1107	57204.4	52684	62468
1108	57252.52	52696	62569
1109	57269.6	52790	62570
1110	57295.52	53002	62587
1111	57349.2	53016	62924
1112	57366.08	53018	63020
1113	57431.4	53020	63021
1114	57455.06	53023	63027
1115	57483.18	53028	63102
1116	57518.74	53068	63103
1117	57550.44	53081	63108
1118	57593.54	53083	63211
1119	57631.44	53086	63211
1120	57649.04	53102	63212
1121	57670.92	53121	63231
1122	57701.86	53122	63246
1123	57725.74	53125	63284
1124	57790.12	53125	63290
1125	57825.56	53171	63324
1126	57844.38	53171	63324
1127	57865.14	53175	63354
1128	57878.06	53195	63360
1129	57908.12	53427	63364
1130	57948.34	53431	63365
1131	58021.5	54365	63373
1132	58059.76	54368	63381
1133	58098.78	54368	63398
1134	58125.48	54368	63425
1135	58162.1	54375	63431
1136	58180.38	54403	63432
1137	58217.7	54414	63460
1138	58242.9	54453	63460
1139	58266.76	54453	63494
1140	58294.8	54457	63505
1141	58327.98	54462	63510
1142	58387.34	54692	63510
1143	58426.48	54730	63525
1144	58451.18	54826	63555
1145	58475.14	54849	63620
1146	58511.94	54850	63620
1147	58539.92	54863	63621
1148	58582.38	54882	63672
1149	58617.72	55002	63675
1150	58640.48	55013	63676
1151	58678.42	55013	63715
1152	58724.06	55063	63779
1153	58765.52	55110	63780
1154	58796.96	55110	63787
1155	58841.78	55368	63787
1156	58870.46	55368	63787
1157	58903.56	55463	63787
1158	58923.4	55526	63807
1159	58951	55529	63814
1160	58982.6	55546	63814
1161	59027.6	55548	63838
1162	59061.02	55573	63838
1163	59094.3	55586	63839
1164	59143.42	55607	63918
1165	59175.32	55609	63957
1166	59202.54	55613	63960
1167	59239.14	55767	63961
1168	59257.48	55785	63965
1169	59280.58	55786	63966
1170	59309.08	55855	63971
1171	59347.78	55871	64395
1172	59408.22	55874	64396
1173	59464.56	55879	64400
1174	59490.7	55892	64417
1175	59515.86	55892	64417
1176	59530.82	55899	64419
1177	59549.28	55910	64425
1178	59582.48	55917	64433
1179	59626.16	55992	64442
1180	59670.64	55993	64442
1181	59712.58	55995	64538
1182	59735	55996	64565
1183	59771.36	56007	64565
1184	59801.28	56007	64579
1185	59842.36	56016	64580
1186	59877.66	56023	64588
1187	59914.28	56032	64589
1188	59946.42	56037	64590
1189	59966.62	56046	64591
1190	59991.12	56051	64617
1191	60034.08	56059	64630
1192	60058.96	56062	64659
1193	60081.96	56068	64790
1194	60115.08	56070	64790
1195	60160.64	56122	64790
1196	60189.16	56143	64803
1197	60214.14	56145	64912
1198	60237.5	56163	64958
1199	60265.76	56166	64970
1200	60301.42	56191	64978
1201	60324.96	56191	64978
1202	60374.96	56208	64988
1203	60416.54	56270	64994
1204	60442.4	56274	65059
1205	60479.9	56285	65075
1206	60521.42	56291	65075
1207	60550.12	56294	65087
1208	60574.56	56373	65106
1209	60601.42	56388	65106
1210	60631.32	56394	65108
1211	60674.88	56398	65159
1212	60716.16	56426	65274
1213	60754.44	56426	65282
1214	60820.52	56436	65284
1215	60850.5	56440	65347
1216	60888.8	56449	65349
1217	60908.4	56449	65414
1218	60944.3	56454	65417
1219	60971.04	56464	65417
1220	60992.16	56626	65418
1221	61014.68	56627	65433
1222	61037.28	56628	65436
1223	61071	56828	65471
1224	61092.54	56850	65471
1225	61118.62	56884	65499
1226	61150.22	56886	65509
1227	61181.64	56961	65653
1228	61216.62	56966	65653
1229	61262.04	57288	65756
1230	61286.36	57317	65757
1231	61303.94	57354	65760
1232	61340.9	57356	65788
1233	61379.4	57361	65796
1234	61464.38	57384	65799
1235	61494.78	57421	65817
1236	61532.8	57445	65821
1237	61562.76	57449	65824
1238	61605.6	57463	66135
1239	61641.3	57536	66135
1240	61671.18	57537	66136
1241	61700.92	57595	66136
1242	61732.76	57714	66136
1243	61772.36	57714	66140
1244	61820.36	57715	66140
1245	61855.98	57728	66151
1246	61882.18	57943	66151
1247	61945.86	57943	66363
1248	61982.82	57951	66364
1249	62012.56	57952	66372
1250	62043.28	58093	66373
1251	62069.96	58143	66375
1252	62095.16	58146	66375
1253	62116.8	58146	66388
1254	62138.48	58147	66462
1255	62211.54	58153	66464
1256	62268.58	58162	66464
1257	62300.32	58163	66470
1258	62320.44	58174	66496
1259	62334.54	58185	66498
1260	62359.66	58187	66798
1261	62381.92	58193	66805
1262	62433.42	58194	66806
1263	62454.18	58195	66807
1264	62478.34	58197	66808
1265	62496.44	58206	66822
1266	62528.02	58206	66824
1267	62572.6	58225	66838
1268	62603.6	58225	66839
1269	62655.46	58230	66854
1270	62696.48	58411	66856
1271	62750.4	58418	66918
1272	62787.34	58420	66966
1273	62813.46	58455	66972
1274	62841.7	58463	66975
1275	62891.98	58468	67029
1276	62916.12	58499	67030
1277	62957	58520	67041
1278	62984.02	58522	67043
1279	63004.28	58524	67043
1280	63029.12	58541	67046
1281	63051.54	58552	67046
1282	63085.36	58552	67050
1283	63105.5	58555	67051
1284	63138.22	58631	67060
1285	63176.68	58638	67060
1286	63210.06	58652	67062
1287	63238.36	58659	67072
1288	63255.76	58659	67075
1289	63312.88	58662	67075
1290	63352.9	58662	67081
1291	63399.98	58697	67101
1292	63422.14	58742	67102
1293	63445.62	58743	67107
1294	63472.82	58773	67108
1295	63499.2	58775	67140
1296	63514.34	58828	67141
1297	63538.56	58880	67152
1298	63565.5	58939	67205
1299	63596.86	58956	67215
1300	63627.82	58957	67373
1301	63681.66	58977	67629
1302	63708.56	58980	67747
1303	63743.18	58987	67859
1304	63765.54	58990	67861
1305	63794.96	58998	67867
1306	63815.24	58998	67871
1307	63837.28	59006	67879
1308	63881.24	59065	68051
1309	63896.54	59066	68067
1310	63920.74	59079	68067
1311	63942.22	59079	68132
1312	63973.84	59079	68133
1313	64007.94	59079	68135
1314	64063.86	59218	68136
1315	64096.42	59218	68219
1316	64141.74	59372	68288
1317	64157.36	59376	68288
1318	64174.98	59376	68294
1319	64200.94	59379	68296
1320	64250.44	59382	68296
1321	64302.62	59385	68298
1322	64334.54	59515	68300
1323	64355.24	59526	68304
1324	64386.9	59726	68305
1325	64405.82	59738	68306
1326	64450.16	59740	68319
1327	64487.72	59740	68322
1328	64499.84	59791	68327
1329	64525	59877	68327
1330	64557.92	59879	68327
1331	64580.48	60176	68331
1332	64596.1	60176	68331
1333	64632.74	60182	68337
1334	64658.72	60183	68339
1335	64689.68	60260	68350
1336	64738.74	60262	68351
1337	64765.82	60362	68481
1338	64797.1	60429	68489
1339	64814.68	60430	68489
1340	64854.2	60494	68538
1341	64897.06	60617	68552
1342	64932.44	60620	68573
1343	64965.94	60716	68588
1344	65002.2	60722	68597
1345	65039.64	60738	68605
1346	65094.56	60800	68608
1347	65122.66	60803	68609
1348	65141.5	60804	68617
1349	65173.74	60824	68617
1350	65188.12	60824	68630
1351	65206.28	60854	68646
1352	65232.66	60867	68726
1353	65255.22	60873	68760
1354	65289.34	60877	68848
1355	65323.98	60919	68849
1356	65345.6	60924	68947
1357	65373.72	60930	68948
1358	65391.94	60945	69161
1359	65428.26	60947	69163
1360	65458.72	61013	69175
1361	65495.66	61013	69215
1362	65561.52	61049	69371
1363	65588.1	61176	69393
1364	65616.76	61180	69394
1365	65643.32	61189	69397
1366	65676.04	61193	69400
1367	65714.94	61194	69688
1368	65760.62	61204	69727
1369	65787.74	61204	69728
1370	65817.78	61229	69869
1371	65855.04	61230	69902
1372	65895.78	61230	69932
1373	65933.48	61372	69966
1374	65958.52	61381	69979
1375	65980.28	61381	69997
1376	66009.64	61383	70078
1377	66039.98	61435	70079
1378	66066.6	61471	70101
1379	66089.72	61471	70102
1380	66122.92	61536	70149
1381	66156.32	61536	70150
1382	66193.86	61540	70184
1383	66214.34	61541	70185
1384	66227.06	61569	70290
1385	66269.54	61571	70305
1386	66294.16	61573	70306
1387	66335.42	61573	70393
1388	66354.5	61574	70427
1389	66395.02	61575	70508
1390	66410.04	61579	70510
1391	66443.98	61827	70510
1392	66480.42	61827	70510
1393	66521.04	61914	70525
1394	66596.28	61946	70526
1395	66623.34	61963	70526
1396	66653.66	62027	70526
1397	66693.26	62098	70556
1398	66740.78	62098	70556
1399	66761.84	62113	70556
1400	66797.5	62328	70571
1401	66833.18	62335	70582
1402	66855.42	62341	70583
1403	66881.28	62351	70583
1404	66933.66	62489	70585
1405	66976.36	62489	70585
1406	67021.44	62489	70586
1407	67063.4	62489	70587
1408	67095.82	62489	70616
1409	67112.56	62497	70636
1410	67149.58	62552	70636
1411	67181.58	62570	70653
1412	67201.68	62579	70656
1413	67238.12	62587	70661
1414	67270.08	62596	70674
1415	67293.1	62597	70676
1416	67322.88	62613	70772
1417	67389.98	62643	70772
1418	67415.16	62643	70840
1419	67434.58	62646	70841
1420	67462.02	62648	70850
1421	67506.84	62648	70891
1422	67534.74	62707	70914
1423	67555.02	62719	70931
1424	67598.5	62729	70933
1425	67625.74	62730	70934
1426	67648	62732	70966
1427	67680.74	62738	70967
1428	67720.26	62738	70971
1429	67745.48	62744	71004
1430	67761.02	62747	71021
1431	67786.84	62784	71059
1432	67806.3	62785	71072
1433	67826.58	62787	71073
1434	67853.04	62804	71116
1435	67890.66	62978	71271
1436	67925.88	62978	71326
1437	67985.3	63029	71375
1438	68008.18	63035	71385
1439	68025.9	63080	71428
1440	68046.52	63130	71432
1441	68075.44	63134	71433
1442	68106.58	63148	71462
1443	68119.6	63161	71469
1444	68139.78	63164	71470
1445	68166.54	63166	71474
1446	68204.08	63209	71550
1447	68256.28	63209	71551
1448	68312.9	63473	71656
1449	68359.5	63473	71806
1450	68383.82	63474	71817
1451	68427.9	63482	71953
1452	68475.32	63482	71955
1453	68494.82	63519	71956
1454	68521.4	63521	72125
1455	68536.14	63541	72125
1456	68570.64	63542	72339
1457	68594.7	63589	72367
1458	68606.98	63612	72368
1459	68634.74	63613	72422
1460	68670.26	63614	72422
1461	68697.34	63614	72424
1462	68756.64	63617	72723
1463	68831.28	63617	72727
1464	68873.56	63697	72736
1465	68909.98	63709	72786
1466	68933.5	63981	72789
1467	68971.2	63986	72802
1468	68996.6	63987	72828
1469	69018.88	64010	72836
1470	69035.18	64015	72838
1471	69054.74	64015	72838
1472	69110.64	64015	72877
1473	69137.72	64017	72878
1474	69161.86	64018	72895
1475	69188.2	64060	73007
1476	69221.7	64072	73010
1477	69244.7	64074	73010
1478	69280.72	64076	73010
1479	69305.32	64078	73024
1480	69327.5	64078	73033
1481	69349.98	64090	73052
1482	69381.62	64097	73246
1483	69422.46	64285	73249
1484	69440.5	64325	73255
1485	69480.56	64328	73263
1486	69510.06	64347	73264
1487	69551.02	64387	73296
1488	69576.18	64407	73297
1489	69635.2	64414	73362
1490	69681.76	64414	73763
1491	69704.14	64414	73764
1492	69750.72	64621	73766
1493	69767.02	64623	73985
1494	69798.96	64623	73996
1495	69818.58	64624	74001
1496	69849.14	64737	74021
1497	69870.1	64756	74023
1498	69893.4	64758	74025
1499	69912.34	64758	74036
1500	69939.4	64761	74037
1501	69960.08	64766	74051
1502	69994.64	64770	74051
1503	70023.22	64771	74062
1504	70041.32	64828	74073
1505	70061.54	64834	74073
1506	70084.64	64834	74260
1507	70121.32	64835	74263
1508	70140.1	64836	74272
1509	70174.3	64836	74273
1510	70207.44	64849	74273
1511	70240.9	64850	74280
1512	70270.74	64874	74290
1513	70296.64	64899	74297
1514	70320.26	64932	74298
1515	70339.32	64932	74314
1516	70358.12	64935	74314
1517	70386.76	64938	74316
1518	70404.5	64940	74316
1519	70430.8	64940	74354
1520	70457.6	64940	74354
1521	70473.86	64953	74375
1522	70505.34	64953	74387
1523	70551.24	64968	74387
1524	70594.58	65102	74437
1525	70623.56	65102	74449
1526	70645.58	65103	74692
1527	70666.2	65128	74693
1528	70683.32	65152	74693
1529	70712.2	65186	74695
1530	70749.76	65188	74717
1531	70768.62	65203	74732
1532	70790.7	65205	74815
1533	70816.4	65324	74815
1534	70833.12	65328	74945
1535	70854.04	65348	74960
1536	70900	65356	74963
1537	70941.34	65382	74971
1538	70967.64	65419	75146
1539	70995.32	65419	75174
1540	71028.84	65459	75178
1541	71044.4	65465	75178
1542	71085	65465	75179
1543	71108.54	65473	75195
1544	71124.9	65473	75200
1545	71158.62	65484	75203
1546	71184.44	65492	75218
1547	71205.44	65498	75218
1548	71252.14	65512	75379
1549	71283.56	65545	75379
1550	71321.98	65545	75470
1551	71361.82	65545	75781
1552	71393.84	65575	75796
1553	71417.22	65769	75798
1554	71448.88	66074	75798
1555	71470.96	66074	75803
1556	71495.34	66090	75817
1557	71519.46	66103	75817
1558	71535.96	66116	75878
1559	71564.64	66121	75881
1560	71583.12	66121	75897
1561	71618.64	66137	75897
1562	71652.84	66179	75908
1563	71667.22	66183	75908
1564	71686.4	66183	75919
1565	71714.56	66217	75920
1566	71748.32	66424	75920
1567	71777.96	66427	75921
1568	71795.56	66429	75926
1569	71825.2	66523	75926
1570	71838.74	66528	75926
1571	71884.5	66548	75929
1572	71904.7	66556	75939
1573	71927.64	66565	75945
1574	71947.66	66592	76007
1575	71987.24	66618	76032
1576	72007.98	66647	76142
1577	72042.1	66658	76184
1578	72065.68	66658	76192
1579	72088.56	66680	76194
1580	72134.78	66680	76194
1581	72167.5	66681	76195
1582	72189.08	66693	76197
1583	72205.96	66696	76198
1584	72215.76	66713	76210
1585	72230.22	66715	76212
1586	72243.62	66722	76217
1587	72268.42	66722	76222
1588	72300.16	66729	76273
1589	72332.92	66767	76290
1590	72358.5	66771	76291
1591	72382.5	66791	76291
1592	72400.02	66797	76307
1593	72440.34	66960	76315
1594	72471.36	67084	76316
1595	72482.46	67109	76364
1596	72497.68	67138	76365
1597	72539.12	67171	76371
1598	72562.22	67172	76385
1599	72596.76	67242	76395
1600	72616.9	67323	76396
1601	72642.92	67336	76411
1602	72680.52	67343	76419
1603	72715.76	67352	76509
1604	72755.24	67368	76536
1605	72811.82	67743	76539
1606	72851.16	67746	76548
1607	72870.42	67747	76566
1608	72896.2	67752	76590
1609	72924.06	67754	76590
1610	72941.14	67756	76618
1611	72971.78	68135	76628
1612	72991.3	68136	76628
1613	73013.98	68142	76743
1614	73031.98	68143	76754
1615	73049	68145	76770
1616	73091.74	68168	76777
1617	73111.62	68186	76778
1618	73149.78	68187	76804
1619	73184.32	68199	76817
1620	73221.34	68220	76843
1621	73249.7	68220	76849
1622	73272.86	68236	76850
1623	73300.3	68262	76851
1624	73355.48	68269	76861
1625	73378.44	68271	76865
1626	73419.96	68272	76866
1627	73445.42	68430	76870
1628	73467.06	68431	76915
1629	73483.76	68442	76927
1630	73509.52	68444	76946
1631	73543.78	68449	76946
1632	73564.38	68519	76947
1633	73589.68	68526	76983
1634	73596.4	68527	76987
1635	73628.68	68532	76987
1636	73658.38	68532	77001
1637	73678.7	68553	77012
1638	73696.84	68590	77015
1639	73717.84	68590	77024
1640	73793.44	68601	77047
1641	73818.54	68631	77047
1642	73846.72	68631	77063
1643	73862.52	68633	77104
1644	73905.58	68637	77403
1645	73929.42	68649	77407
1646	73952.84	68662	77450
1647	73968.84	68662	77452
1648	73989.88	68671	77468
1649	74006.54	68676	77478
1650	74024.74	68684	77479
1651	74051.06	68693	77500
1652	74088.84	68693	77554
1653	74115.78	68693	77716
1654	74144.92	68897	77728
1655	74181.5	68911	77758
1656	74213.78	68913	77762
1657	74237.3	68914	77763
1658	74259.74	68919	77763
1659	74290.62	68920	77770
1660	74307.94	68923	77844
1661	74322.3	68960	77844
1662	74332.74	68961	77859
1663	74350.6	68961	78006
1664	74373.92	69088	78008
1665	74412.74	70265	78012
1666	74436.92	70268	78014
1667	74457.9	70284	78214
1668	74477.2	70286	78237
1669	74497.96	70286	78248
1670	74508.06	70306	78351
1671	74524.72	70341	78363
1672	74542.74	70344	78381
1673	74573.66	70345	78398
1674	74605.32	70360	78564
1675	74642.32	70363	78571
1676	74658.66	70363	78577
1677	74697.56	70363	78578
1678	74712.56	70385	78600
1679	74753.74	70389	78602
1680	74779.74	70390	78619
1681	74844.3	70393	78622
1682	74880.56	70406	78789
1683	74931.46	70426	78888
1684	74951.5	70434	78894
1685	74973.9	70457	78969
1686	75005.44	70458	79006
1687	75023.24	70460	79034
1688	75043.4	70462	79035
1689	75074.1	70572	79036
1690	75091.04	70572	79038
1691	75108.44	70572	79100
1692	75139.42	70639	79118
1693	75165.48	70646	79127
1694	75184.76	70667	79142
1695	75207.6	70668	79151
1696	75238.14	70774	79158
1697	75268.28	70774	79174
1698	75293.14	70774	79199
1699	75320.66	70774	79199
1700	75356.92	70927	79215
1701	75373.4	70928	79348
1702	75388.82	70949	79348
1703	75405.84	70949	79388
1704	75427.42	70952	79396
1705	75438.84	70953	79397
1706	75470.16	71041	79416
1707	75497.24	71047	79536
1708	75519.92	71126	79546
1709	75571.24	71228	79546
1710	75598.6	71276	79575
1711	75624.42	71278	79576
1712	75646.86	71278	79617
1713	75670.2	71300	79619
1714	75701.28	71316	79626
1715	75728.56	71389	79792
1716	75757.7	71401	79792
1717	75781.36	71457	79792
1718	75803.48	71479	79800
1719	75824.66	71491	79821
1720	75859.32	71493	79884
1721	75875.54	71512	79909
1722	75917.24	71545	80014
1723	75951.62	71547	80016
1724	75973.28	71550	80065
1725	76003.8	71586	80093
1726	76029.78	71586	80098
1727	76051.5	71588	80105
1728	76083.92	71605	80119
1729	76122.36	71612	80172
1730	76149.62	71660	80189
1731	76170.14	71663	80252
1732	76196.24	71675	80285
1733	76222.74	71675	80285
1734	76239.72	71684	80304
1735	76262.94	71749	80326
1736	76279.52	71757	80347
1737	76307.8	71768	80354
1738	76336.24	71769	80354
1739	76358.92	71810	80363
1740	76406.56	71832	80367
1741	76434.52	71838	80367
1742	76470.74	71842	80374
1743	76484.7	71848	80378
1744	76527.76	71848	80379
1745	76544.94	71848	80384
1746	76585.86	71848	80401
1747	76600.66	71854	80410
1748	76624.32	71859	80410
1749	76659.86	71863	80410
1750	76673.76	71871	80410
1751	76707.28	71871	80411
1752	76729.54	71945	80475
1753	76758.78	71949	80509
1754	76776.28	71950	80509
1755	76798.54	71951	80530
1756	76815.76	71963	80579
1757	76849.08	71984	80582
1758	76869	71986	80583
1759	76890.5	71999	80589
1760	76904.92	72000	80589
1761	76929.94	72022	80589
1762	76956.7	72045	80744
1763	76974.04	72046	80764
1764	77021.08	72052	80855
1765	77039.86	72067	80855
1766	77081.6	72070	80859
1767	77101.94	72076	81098
1768	77116.06	72076	81254
1769	77139.34	72077	81270
1770	77165.1	72079	81276
1771	77185.82	72092	81278
